640 480
112 65 46
112 66 50
113 67 44
114 69 75
115 72 80
116 75 95
119 79 144
119 80 149
121 85 102
122 87 119
125 92 156
128 98 113
131 104 81
132 106 86
134 109 83
135 114 82
138 117 89
140 122 82
143 127 75
147 131 67
150 136 89
153 140 78
156 143 91
157 145 113
158 147 155
158 148 137
160 150 142
161 153 115
167 159 120
168 161 110
170 163 110
171 166 107
172 166 109
174 168 112
175 169 110
177 172 111
180 174 117
181 175 118
182 176 118
182 177 116
183 178 117
184 181 102
186 183 111
188 186 108
191 190 105
192 191 99
194 193 104
195 195 105
201 200 135
204 204 126
205 205 123
206 206 120
207 207 114
208 209 123
209 209 121
210 211 115
214 216 117
215 216 118
216 218 123
217 218 122
217 220 125
219 220 121
221 224 96
225 227 79
226 229 87
228 230 77
229 231 84
230 232 123
233 234 126
236 236 100
238 238 104
240 239 97
242 240 123
244 241 130
245 241 131
246 242 133
248 242 145
249 242 129
250 242 123
252 243 146
253 244 143
254 244 149
255 244 152
257 246 133
260 247 131
261 247 118
262 248 121
264 248 114
267 249 153
270 249 176
272 251 112
276 253 107
279 253 152
281 253 160
283 253 161
287 254 207
290 254 196
293 254 200
294 254 195
296 254 181
297 254 180
299 255 172
300 255 158
302 256 94
303 256 90
307 259 139
310 260 132
313 260 154
315 260 139
317 260 124
319 260 117
321 260 120
322 260 121
323 260 125
324 260 137
324 261 143
325 261 141
327 262 148
327 263 161
330 264 146
331 264 130
332 264 135
334 265 129
340 269 126
341 269 120
343 269 122
346 270 128
348 270 107
349 270 106
351 271 112
352 271 110
355 271 114
356 271 111
357 271 99
358 271 89
359 271 86
359 270 80
360 270 92
362 270 112
364 270 105
367 269 87
369 268 82
374 267 78
376 267 109
380 266 120
383 266 104
385 266 104
387 265 107
389 264 112
390 264 128
393 263 116
394 263 113
395 263 118
397 262 122
400 261 118
401 261 123
403 260 116
405 259 94
408 258 108
409 258 121
411 258 120
414 257 82
416 256 85
418 256 89
420 255 87
422 255 84
423 254 88
426 253 80
427 253 75
428 252 84
429 251 105
430 251 108
431 251 110
433 249 103
434 249 105
436 249 108
438 247 115
439 247 113
441 246 93
442 246 87
444 244 96
446 244 89
448 243 90
450 241 98
454 240 93
457 239 97
459 238 80
461 237 93
462 236 93
465 235 91
466 235 89
466 234 89
467 234 86
468 233 83
469 233 80
469 232 84
469 231 93
471 230 89
472 229 90
474 228 89
476 227 86
478 226 84
481 225 86
484 224 114
487 224 120
489 223 108
491 222 104
493 222 102
496 221 99
498 220 102
499 219 98
500 219 99
503 217 102
504 216 95
506 214 94
507 214 94
507 212 87
508 212 89
509 211 103
510 210 106
510 209 102
511 208 99
512 207 106
513 207 105
514 205 99
515 204 95
518 202 83
519 201 80
520 200 76
521 199 76
522 198 73
523 197 75
525 196 79
525 195 97
526 195 119
526 194 133
528 193 120
528 192 107
530 190 78
531 189 79
533 187 83
535 185 72
536 184 78
537 182 78
538 180 82
540 179 74
541 177 71
543 175 74
544 173 88
546 171 116
547 168 103
548 166 95
549 164 91
551 162 90
552 160 91
553 160 82
553 159 80
554 157 96
555 156 96
556 154 121
558 151 132
559 149 91
561 146 101
563 144 105
565 142 81
565 141 78
567 139 82
568 137 82
569 136 82
570 134 83
572 133 84
573 131 84
574 130 87
574 129 87
574 128 87
575 127 92
576 126 93
576 124 87
577 123 83
577 122 79
578 122 83
579 121 82
580 119 77
581 118 80
582 117 81
582 116 76
583 115 75
584 115 85
584 114 78
585 113 76
585 112 75
586 114 82
592 113 58
592 114 59
593 114 58
593 115 59
593 116 59
593 117 60
594 117 58
595 119 57
595 120 56
596 120 58
596 121 89
596 123 108
597 123 109
597 124 102
597 126 98
597 127 89
597 128 95
598 129 104
598 130 108
598 131 114
598 133 118
599 135 111
599 136 93
599 137 88
599 139 91
599 140 97
599 141 95
599 142 82
599 144 51
599 145 43
599 148 67
599 149 56
599 150 58
599 151 64
599 153 109
599 155 154
599 156 152
598 158 149
597 160 151
597 161 146
597 163 141
597 164 124
597 165 110
597 166 103
597 168 94
597 170 93
596 171 95
596 173 94
595 176 100
594 177 106
594 178 104
594 179 105
594 182 91
593 184 90
593 185 101
592 187 117
592 190 151
591 192 162
590 193 161
590 194 157
589 196 161
589 198 176
589 199 169
589 200 172
589 201 166
589 203 162
589 204 165
588 205 151
588 206 138
588 207 128
588 208 119
588 209 118
587 210 121
587 212 122
586 212 120
586 213 114
586 215 102
585 215 104
585 216 105
584 218 99
583 218 102
583 220 99
581 220 99
581 222 99
579 222 98
579 224 97
578 224 96
577 226 100
576 227 104
575 228 110
574 228 113
574 229 112
574 230 109
574 231 106
573 232 104
573 233 102
573 234 100
572 236 96
572 237 96
572 238 97
572 239 98
572 240 113
572 241 124
572 242 133
572 243 127
573 244 113
573 246 85
573 247 80
574 250 95
575 251 101
576 254 126
577 257 95
578 259 96
578 261 102
578 262 100
579 266 96
579 269 92
580 272 85
580 274 78
580 276 80
581 279 80
581 283 73
581 286 73
582 288 98
582 290 97
582 293 80
583 296 96
583 298 136
583 300 154
583 301 159
582 304 169
582 307 152
582 309 135
582 311 121
581 312 114
581 314 118
581 317 112
580 319 105
579 321 104
579 322 113
578 324 120
577 326 113
576 328 124
576 329 125
575 330 123
574 331 126
572 332 126
572 333 126
570 335 124
568 336 117
567 338 121
564 340 120
562 341 115
558 344 120
554 348 117
548 351 74
546 351 81
542 353 109
536 356 142
534 357 144
532 357 160
529 358 138
528 359 128
526 361 117
524 362 103
522 363 115
521 364 140
519 365 157
518 365 155
515 367 151
512 369 160
510 370 152
508 372 142
506 372 120
504 374 106
501 375 99
499 377 107
496 378 106
495 379 101
493 380 102
491 381 96
490 383 100
489 384 126
487 385 111
486 385 112
484 387 128
482 388 122
482 389 118
481 389 106
480 390 107
479 391 95
478 391 94
477 393 89
476 393 87
475 394 91
474 394 92
473 395 96
471 395 92
470 395 91
469 396 93
466 397 107
464 397 104
463 397 82
460 398 68
459 398 71
457 399 66
456 400 73
455 400 72
453 400 73
450 401 75
447 402 77
445 403 72
442 404 79
438 405 83
435 406 83
432 406 80
429 407 77
426 408 79
424 409 98
422 409 106
419 410 79
416 411 83
413 412 90
408 413 84
404 413 61
401 413 85
396 414 102
391 415 55
388 415 47
384 416 33
382 416 32
379 417 39
375 418 48
372 418 45
369 418 40
367 418 39
364 418 37
359 418 37
357 418 57
355 418 80
353 418 73
350 419 73
347 419 72
346 419 71
344 420 72
342 420 70
341 420 64
338 420 58
335 420 55
332 420 54
329 420 47
327 420 59
324 420 59
321 420 47
319 420 60
318 419 50
316 419 50
314 418 47
311 418 29
308 418 29
305 417 37
302 417 37
298 416 50
294 416 48
288 416 56
284 415 74
280 415 58
276 415 64
274 415 63
271 415 74
269 415 72
267 415 70
264 415 62
263 415 70
261 415 150
260 414 149
256 414 152
250 413 97
247 413 97
243 412 81
239 412 70
236 412 66
234 412 69
231 411 68
227 411 68
224 411 69
222 410 78
219 410 81
217 409 83
214 409 92
213 409 89
211 408 129
208 408 138
207 407 153
206 406 161
205 406 152
204 405 136
203 405 117
202 404 119
200 403 118
199 402 125
198 401 126
196 400 134
195 399 133
193 397 94
190 396 100
188 394 99
187 394 102
185 394 102
183 392 98
181 391 111
178 389 88
176 388 107
174 386 102
172 385 102
170 383 111
168 382 123
167 381 104
165 380 98
163 379 94
162 378 93
160 375 83
157 374 72
156 372 79
154 371 78
153 370 79
152 369 75
152 368 73
151 367 91
149 366 91
147 362 97
144 361 102
143 359 142
141 359 145
140 358 147
139 358 153
138 357 149
136 355 149
134 355 105
133 352 106
131 352 115
130 351 139
128 350 103
125 347 106
123 346 117
121 344 126
118 341 107
115 340 109
113 337 99
111 336 102
111 335 101
109 334 113
108 333 109
106 330 101
104 329 101
102 327 99
101 326 94
98 324 115
97 323 89
96 322 93
95 320 93
94 320 84
94 319 83
93 318 87
92 316 94
90 313 109
88 310 104
86 306 104
84 304 106
83 303 118
81 301 113
81 300 112
80 299 110
80 298 110
78 296 91
75 292 69
73 291 80
72 288 92
71 287 104
70 286 101
69 284 112
68 283 120
66 280 125
65 278 135
64 277 129
63 275 133
62 274 137
60 273 134
59 270 107
57 268 122
55 267 122
55 265 105
55 264 96
54 264 96
53 262 106
51 259 108
49 256 109
49 255 105
48 254 106
48 253 111
47 252 109
46 250 110
45 248 87
44 246 43
43 244 45
42 242 49
41 241 73
40 237 87
38 234 85
36 231 102
35 229 85
34 227 56
33 225 61
32 223 90
32 221 143
31 219 87
31 217 51
30 216 59
29 214 67
29 212 50
29 211 62
29 210 60
29 209 49
29 207 48
29 204 69
28 202 54
28 199 54
27 197 57
27 194 49
26 192 48
26 189 57
26 188 59
25 185 74
25 183 79
24 182 102
24 180 104
24 178 108
23 175 111
23 173 123
23 171 82
22 169 76
22 166 79
22 165 79
21 162 77
21 160 82
20 157 73
20 155 81
19 152 55
18 150 198
18 148 196
18 145 209
18 144 197
18 142 213
17 140 160
17 139 136
17 138 118
17 136 103
17 135 103
17 134 103
17 133 108
17 131 107
17 129 102
17 128 93
17 127 94
17 125 73
17 124 73
17 123 76
17 122 84
17 121 88
18 120 87
18 118 91
19 116 91
19 115 93
20 113 97
20 111 114
20 110 109
20 109 98
20 107 70
21 104 67
21 103 68
22 101 67
22 100 64
22 98 68
22 97 70
22 96 71
23 94 66
24 92 56
24 91 54
25 89 59
27 87 43
27 86 43
28 85 43
29 84 45
30 83 47
31 81 47
31 80 46
32 79 47
32 78 48
33 77 49
35 75 47
35 74 47
37 72 46
38 71 48
39 70 47
40 68 49
42 67 47
43 67 46
44 66 46
46 65 47
47 64 48
48 64 46
51 62 44
53 61 49
56 60 46
58 59 47
60 58 47
63 58 101
66 56 98
68 55 90
69 55 90
71 54 95
72 54 91
73 54 86
73 53 85
75 53 93
76 53 91
78 53 74
81 52 85
83 52 63
85 51 62
88 51 65
89 51 65
91 51 68
92 51 72
94 51 78
95 51 79
96 51 91
96 52 90
97 52 87
99 53 66
100 53 63
101 53 61
102 55 74
103 55 74
104 56 81
104 57 82
105 57 80
105 58 82
106 58 84
106 59 85
107 60 75
108 60 72
108 61 64
109 62 60
110 63 55
111 64 47
111 65 52
112 65 46
112 66 50
113 66 49
112 66 50
123 21 86
124 22 84
126 23 84
131 24 90
137 24 106
140 24 89
145 24 81
157 23 107
174 21 103
195 21 75
215 21 115
237 21 94
258 21 91
278 21 127
297 21 105
319 21 93
338 21 87
351 20 121
368 19 62
381 19 97
395 19 128
409 18 95
419 18 135
430 18 119
438 18 115
445 18 61
449 18 63
449 19 59
449 20 58
449 21 62
449 22 67
447 24 86
443 27 127
438 30 100
432 33 135
426 34 148
417 38 116
404 42 83
384 49 81
354 58 62
324 66 101
289 76 69
259 85 57
227 93 145
202 99 98
181 105 119
169 108 86
167 108 82
168 109 86
170 109 85
175 110 83
180 110 75
183 110 76
190 110 105
204 108 101
219 105 107
242 101 136
276 96 126
313 90 88
352 85 86
400 79 122
439 74 103
473 69 83
502 66 105
519 65 92
521 65 86
521 66 85
519 68 91
513 70 60
507 73 74
504 74 79
497 76 90
489 78 67
475 81 102
460 86 94
447 90 98
432 95 121
413 101 142
393 106 81
379 111 97
360 116 60
341 122 82
324 127 90
311 130 98
300 133 130
299 134 126
297 135 110
300 135 128
305 135 133
308 135 177
313 135 223
321 134 80
333 133 85
345 131 80
360 129 64
378 128 69
395 127 137
411 125 117
423 123 122
432 122 148
439 122 130
440 122 131
442 123 123
443 124 112
438 127 113
436 129 128
431 132 113
419 138 116
405 144 96
388 151 83
360 161 104
333 170 89
300 181 142
275 189 113
255 196 148
246 199 110
245 200 112
246 200 116
249 199 116
254 198 142
263 196 111
274 194 121
289 190 81
305 188 122
320 185 150
338 183 210
356 179 176
377 176 157
395 173 112
408 172 105
419 172 112
420 173 108
421 174 106
420 175 99
419 176 103
418 177 99
415 180 107
415 183 119
410 189 147
404 193 170
398 196 168
393 199 180
390 200 196
387 205 161
385 207 132
384 207 117
385 207 132
386 207 123
390 208 159
394 208 183
400 207 155
404 206 159
407 206 164
411 205 145
414 205 115
417 205 106
418 205 104
418 206 109
418 207 113
418 209 106
23 165 75
23 167 79
24 169 71
24 170 76
24 171 99
25 172 107
26 173 97
27 174 95
28 176 76
30 178 60
31 179 61
31 180 61
31 183 62
31 185 56
31 188 52
28 190 51
27 192 47
25 194 53
25 195 52
24 196 57
23 196 89
22 197 113
22 198 108
21 199 119
20 200 108
20 202 111
19 204 118
18 205 117
18 207 112
18 208 112
18 209 112
18 210 111
18 211 108
18 212 105
19 214 102
20 215 103
22 216 94
22 217 93
25 219 102
26 220 110
26 221 105
27 221 111
27 222 115
28 222 168
28 223 168
30 227 159
30 230 108
30 233 113
28 234 106
24 237 105
19 239 50
17 240 37
13 242 45
11 243 42
6 244 119
3 245 87
2 245 78
2 246 73
4 246 100
5 246 118
7 246 149
10 248 46
12 249 41
15 250 46
21 252 44
24 252 52
26 253 204
30 255 54
36 258 72
40 259 85
43 261 106
44 262 112
46 264 129
46 265 122
46 267 123
46 269 128
46 271 119
44 275 91
42 279 102
40 280 94
35 284 75
32 290 68
29 295 59
26 298 60
24 299 60
24 300 59
24 301 58
25 302 58
28 304 52
33 306 46
39 308 50
44 309 49
50 312 58
52 312 66
55 313 96
59 314 102
61 315 106
63 317 113
64 318 108
64 319 107
64 320 121
64 321 114
64 323 173
63 325 90
60 328 87
56 333 84
49 340 53
42 344 91
32 350 85
24 357 76
15 362 60
8 367 77
6 369 87
6 370 91
6 371 90
8 373 80
9 373 78
12 373 70
19 373 70
28 373 63
39 374 113
50 375 81
65 377 98
77 378 114
87 380 133
98 382 120
107 384 128
112 387 126
113 388 115
113 389 114
113 391 118
110 393 136
105 399 103
99 403 96
95 405 100
86 409 110
76 412 136
64 417 155
54 420 104
44 423 79
35 427 66
28 430 67
25 432 69
25 433 70
27 435 71
28 435 71
31 436 69
34 436 62
37 436 61
43 436 56
51 436 61
59 436 94
71 436 113
82 437 109
91 438 119
102 439 95
111 439 112
118 440 101
124 441 106
124 442 104
124 443 101
123 444 109
120 445 116
115 447 127
110 449 115
99 452 146
89 455 150
78 459 173
70 461 144
64 463 179
63 463 173
63 462 168
66 461 144
69 460 147
74 459 154
81 457 173
91 455 163
101 454 154
113 454 109
123 454 123
133 454 100
141 454 69
226 438 55
226 439 53
228 439 58
230 439 56
235 439 72
244 439 89
256 439 88
267 438 110
280 436 143
296 436 146
311 436 162
323 436 146
336 436 149
347 436 164
355 436 139
355 437 128
355 438 122
355 439 121
350 441 158
344 442 121
340 443 94
333 445 89
325 447 115
311 450 95
299 452 76
290 453 66
284 454 59
283 454 59
285 454 61
289 454 64
293 453 79
298 453 91
302 453 75
309 453 76
321 452 136
335 451 78
347 450 139
363 450 73
377 449 76
389 449 97
400 449 96
409 449 85
416 449 89
418 449 96
419 449 99
419 450 92
418 451 88
417 452 86
415 454 72
414 454 72
415 454 72
420 454 69
423 454 67
425 454 68
429 454 86
437 453 116
446 452 70
455 451 82
466 451 109
476 451 129
486 451 53
491 451 42
496 451 45
499 452 42
499 453 39
498 455 38
495 457 37
491 459 37
486 461 35
481 462 35
478 462 43
479 462 36
482 461 35
486 460 35
490 459 32
495 458 41
499 458 42
502 458 46
507 457 66
515 457 78
522 456 54
529 456 54
535 456 63
540 456 74
541 456 93
540 457 79
540 458 87
539 458 72
541 458 105
544 457 113
545 457 106
546 457 96
547 457 88
548 457 85
549 457 84
551 455 78
553 455 78
557 454 87
559 453 88
564 451 102
567 451 102
568 451 108
569 451 108
570 451 104
570 450 97
569 450 104
569 449 98
568 448 100
567 448 91
566 448 100
563 447 91
559 446 83
553 446 91
549 446 84
543 446 80
532 445 50
517 445 71
507 445 64
496 445 69
488 445 66
482 444 68
481 443 67
480 443 68
480 441 69
482 440 73
485 437 94
490 435 109
492 435 68
497 434 67
505 432 96
513 431 90
522 429 81
530 426 74
537 425 77
545 423 76
551 421 69
557 420 65
559 418 78
560 417 85
561 416 88
562 415 86
562 414 91
562 413 94
562 412 86
561 411 67
560 411 65
556 411 84
552 411 90
548 411 88
545 411 83
538 411 85
532 411 82
524 411 88
517 411 107
510 411 92
509 411 87
509 410 99
509 409 112
510 408 111
516 405 112
521 404 95
526 402 83
533 401 88
542 399 109
552 397 92
562 394 59
571 393 54
582 391 162
594 390 201
602 389 172
608 388 136
610 388 131
609 388 128
604 388 167
601 388 174
596 388 182
593 388 179
589 389 137
582 390 152
576 390 148
572 390 57
569 390 55
570 388 58
572 385 60
575 384 66
578 381 61
584 376 129
591 371 142
599 366 208
605 362 125
609 359 112
612 357 105
613 356 103
614 355 99
613 354 103
611 354 107
610 354 110
608 353 126
605 351 106
604 351 102
603 351 98
603 350 100
603 348 98
603 347 98
603 344 97
603 341 94
603 338 95
603 335 96
603 332 98
604 330 102
605 329 100
605 327 94
605 326 95
605 324 96
605 322 95
603 321 93
601 317 85
599 316 84
596 314 99
594 314 110
591 313 125
591 312 128
590 312 125
590 311 126
590 310 132
590 309 133
591 306 131
591 304 122
593 301 105
594 297 84
595 295 78
597 291 73
598 288 108
600 285 84
601 283 75
602 280 70
602 279 66
603 278 63
603 276 61
604 275 61
604 274 61
605 272 56
606 269 56
608 267 58
610 262 61
613 259 72
614 257 76
614 255 80
615 254 85
615 253 78
615 252 73
615 250 80
614 249 79
613 247 80
613 245 86
611 241 80
610 238 95
608 237 101
607 235 112
606 234 115
605 233 123
605 231 124
605 230 123
605 229 122
605 228 121
605 227 120
605 226 121
605 224 122
605 222 122
607 219 127
609 217 134
610 215 130
612 213 130
614 210 123
615 208 121
616 206 120
617 205 116
618 203 117
619 202 116
619 200 119
619 197 125
620 194 120
622 191 118
622 189 122
622 187 125
623 185 126
623 183 134
623 181 131
624 179 146
624 178 139
624 177 105
625 175 82
625 174 75
625 173 79
625 170 82
625 169 90
625 167 89
624 164 101
623 162 112
622 160 90
621 158 83
620 157 119
618 154 150
617 152 94
615 150 83
614 148 71
614 146 64
613 143 59
613 141 56
612 140 59
612 139 55
610 135 46
610 133 88
609 130 100
609 128 90
608 125 100
608 122 94
608 118 65
608 115 82
609 112 105
610 109 91
612 106 92
613 103 86
615 102 84
616 100 80
617 99 80
617 98 80
617 97 81
617 96 82
617 95 79
617 94 83
617 93 89
617 92 94
617 91 96
617 90 95
617 89 94
617 88 93
617 86 92
617 85 94
617 84 94
616 82 84
615 80 93
615 79 89
614 78 87
613 77 97
612 75 89
611 74 87
609 73 88
607 69 74
605 68 75
603 66 71
599 63 74
598 62 73
593 59 60
590 57 54
587 56 66
585 54 77
584 53 78
582 52 101
582 51 114
581 50 113
581 49 104
581 48 96
581 45 88
581 43 80
581 41 106
581 39 107
581 37 99
582 35 97
582 32 88
582 29 74
583 26 74
584 25 82
584 24 78
585 22 73
585 21 73
586 20 73
586 19 72
539 73 100
538 75 95
536 76 92
535 77 87
534 77 89
533 78 89
532 78 88
531 79 94
530 81 108
527 83 88
525 84 94
522 86 95
518 89 78
515 91 105
513 94 100
511 95 124
510 96 107
510 98 98
510 102 77
514 106 108
516 108 109
518 110 98
521 113 89
523 114 77
524 116 81
526 119 83
526 120 81
526 121 76
524 123 89
522 125 88
519 127 87
513 130 78
507 132 63
504 133 90
500 134 89
494 135 143
488 137 130
481 138 124
474 140 124
469 141 106
467 141 100
467 142 104
467 143 109
467 144 107
470 146 111
471 149 106
475 155 96
477 157 97
478 161 107
481 164 109
483 166 105
484 169 105
486 171 102
487 171 102
487 172 101
487 173 102
486 174 103
483 175 103
481 178 103
479 179 101
476 181 100
471 182 99
465 184 116
462 185 148
459 186 175
457 187 178
456 187 174
456 189 171
456 190 176
458 193 186
459 195 175
460 198 142
462 202 123
463 205 120
463 208 111
463 210 124
464 211 122
464 213 129
463 213 137
460 213 134
458 213 138
454 213 153
451 213 142
447 213 137
441 213 119
437 213 150
433 214 183
431 214 186
430 214 199
428 214 194
428 215 194
428 214 194
