640 480
67 86 68
67 87 68
68 87 69
69 88 98
70 90 99
71 91 88
72 93 64
73 94 59
74 97 58
76 99 78
76 101 156
78 103 180
79 106 177
80 107 176
81 109 176
83 113 175
84 114 175
84 116 180
85 117 179
86 119 169
87 121 169
88 122 135
89 125 179
90 128 173
91 131 173
92 133 159
92 135 139
93 137 112
95 138 115
95 139 125
96 141 131
97 142 158
97 143 160
98 145 172
98 146 169
99 146 172
99 147 176
100 148 182
101 149 184
101 150 178
102 150 173
103 151 157
103 152 118
104 152 146
105 153 155
106 154 162
107 155 139
108 156 161
109 156 157
109 157 150
110 157 140
110 158 112
112 160 111
112 161 117
113 162 104
114 162 99
114 163 98
115 163 110
115 164 122
116 164 123
119 167 127
121 170 133
123 171 119
125 173 103
126 173 91
128 174 79
129 176 87
130 177 91
130 178 104
131 178 99
131 179 115
133 180 103
134 182 108
136 184 86
137 185 80
138 186 73
139 187 80
141 189 72
143 191 82
143 192 82
144 193 84
145 196 82
146 196 75
146 197 83
147 197 81
148 198 90
149 200 86
150 201 78
150 202 67
151 202 68
153 204 58
154 206 49
156 207 55
158 209 57
159 210 58
161 212 63
163 214 60
165 216 56
166 217 60
168 219 67
169 220 69
170 221 69
171 223 73
172 223 72
174 224 76
174 226 83
176 226 77
177 228 80
178 229 81
179 230 81
180 231 78
181 232 77
181 233 78
182 233 76
183 233 77
184 234 77
185 236 78
186 236 80
186 237 83
188 238 88
188 239 88
190 240 83
191 241 82
193 243 86
194 243 87
196 245 101
197 246 110
199 247 108
201 248 94
204 248 80
206 250 80
207 251 85
209 252 86
211 253 84
212 254 87
214 255 91
215 256 89
216 257 85
218 258 85
220 260 79
221 261 79
224 262 78
225 263 79
226 263 80
228 264 81
230 265 84
232 266 83
232 267 84
234 267 83
235 268 82
236 269 80
237 269 80
238 270 79
239 270 79
240 271 80
242 272 77
243 272 76
244 272 76
246 273 77
248 274 80
249 274 79
251 274 76
252 274 73
254 275 72
256 276 74
257 276 72
259 277 68
263 277 63
266 278 66
269 279 63
272 279 65
276 279 62
279 279 64
284 280 63
286 280 61
289 280 69
290 280 68
292 280 70
294 281 70
295 281 72
296 281 68
298 281 74
300 281 74
302 282 74
303 282 74
305 283 70
308 283 72
309 283 72
310 284 72
312 285 81
313 285 78
314 286 72
317 287 78
318 287 78
319 287 78
320 287 83
322 287 89
323 287 105
324 288 140
327 288 144
329 288 147
330 289 124
331 289 104
333 289 123
334 289 127
335 289 116
336 289 136
336 290 111
337 291 89
338 291 96
339 291 109
340 291 116
342 291 109
343 291 130
345 291 146
348 291 151
350 291 138
352 291 112
355 291 83
357 291 84
360 291 124
363 291 104
367 291 107
370 291 130
373 291 133
376 291 129
381 290 72
385 290 88
388 290 63
390 290 58
393 290 57
395 290 77
397 290 106
400 289 137
402 289 126
405 289 74
407 288 67
408 288 109
409 288 130
412 288 145
413 287 148
414 287 149
416 287 145
417 287 148
418 287 150
419 286 140
421 286 153
422 286 156
423 285 153
426 285 151
430 285 152
431 284 144
433 284 148
436 283 151
438 282 156
442 282 152
444 281 145
446 280 143
449 279 138
450 278 141
453 277 137
455 277 146
457 276 144
458 275 141
461 274 141
462 273 142
464 272 141
465 271 143
466 270 139
467 269 136
469 268 146
470 267 139
471 266 124
472 265 115
473 264 113
475 263 123
476 262 128
478 261 122
480 260 131
480 259 124
482 259 110
484 258 74
485 257 89
486 256 121
487 255 129
487 254 100
488 253 120
489 253 129
490 252 136
492 251 144
493 251 145
494 250 144
496 249 130
496 248 129
498 247 126
500 246 132
502 245 154
503 244 156
505 243 154
506 242 159
507 241 147
509 239 142
509 238 109
510 237 144
511 236 162
512 236 173
